date,volume,open,high,low,close
2018/03/23,"52,974,390",245.0,247.0,244.0,245.0
2018/03/26,"39,487,945",241.5,244.5,241.5,243.5
2018/03/27,"31,100,260",248.0,251.0,247.0,251.0
2018/03/28,"29,924,411",247.5,248.0,244.0,245.0
2018/03/29,"36,427,345",243.0,247.0,242.5,244.0
2018/03/30,"16,996,346",247.5,249.5,246.0,246.0
2018/03/31,"3,603,912",247.5,249.0,246.5,247.5
2018/04/03,"35,813,944",243.0,244.5,242.0,244.0
2018/04/09,"35,465,824",248.0,248.0,243.5,245.0
2018/04/10,"25,268,994",244.5,249.0,243.5,245.5
2018/04/11,"21,777,935",246.5,248.5,246.5,248.0
2018/04/12,"20,476,657",248.5,248.5,244.0,245.0
2018/04/13,"19,946,548",246.0,246.0,244.0,244.5
2018/04/16,"21,608,528",243.0,244.0,242.0,243.5
2018/04/17,"42,756,389",243.0,243.5,237.5,238.0
2018/04/18,"44,768,048",239.5,241.5,236.5,238.0
2018/04/19,"33,230,989",242.0,244.5,241.0,244.5
2018/04/20,"129,890,087",228.0,231.5,228.0,229.0
2018/04/23,"71,901,975",226.5,227.5,225.0,226.5
2018/04/24,"45,206,892",225.0,227.5,225.0,227.0
2018/04/25,"48,975,110",225.5,226.0,224.0,225.0
2018/04/26,"48,176,657",225.0,225.5,221.0,222.0
2018/04/27,"34,443,459",225.0,225.5,221.0,223.5
2018/04/30,"28,500,789",224.5,228.0,222.5,227.0
2018/05/03,"33,507,731",221.0,222.5,220.0,220.5
2018/05/04,"28,477,722",221.0,224.0,220.5,223.0
2018/05/07,"23,751,759",225.0,225.5,221.5,223.5
2018/05/08,"40,324,763",224.0,228.5,223.5,228.0
2018/05/09,"35,597,934",228.5,232.0,228.5,229.5
2018/05/10,"27,530,377",231.0,231.5,229.0,229.5
2018/05/11,"30,693,910",232.0,234.0,230.5,233.0
2018/05/14,"23,577,637",234.5,234.5,232.5,233.0
2018/05/15,"23,771,769",233.5,234.0,229.5,230.5
2018/05/16,"14,834,107",229.5,230.5,228.5,230.5
2018/05/17,"27,702,737",231.0,231.5,226.5,226.5
2018/05/18,"28,187,541",225.5,227.5,223.5,223.5
2018/05/21,"16,417,815",225.0,230.0,225.0,229.0
2018/05/22,"22,422,097",230.0,233.5,229.0,229.0
2018/05/23,"26,737,899",231.5,231.5,228.5,228.5
2018/05/24,"13,450,610",229.5,230.0,228.5,229.0
2018/05/25,"16,486,294",228.5,229.5,228.0,228.5
2018/05/28,"17,673,270",229.5,230.0,226.5,227.0
2018/05/29,"25,770,776",226.5,226.5,223.5,225.0
2018/05/30,"49,667,788",224.0,224.0,220.5,221.0
2018/05/31,"96,587,458",221.5,224.0,220.5,224.0
2018/06/04,"31,257,480",227.5,229.0,227.0,229.0
2018/06/05,"27,714,384",230.0,230.0,226.5,229.0
2018/06/06,"30,375,441",229.0,230.0,227.0,230.0
2018/06/07,"25,277,266",231.0,231.5,228.0,230.0
2018/06/08,"24,192,851",229.0,229.0,226.0,227.0
2018/06/11,"22,028,933",226.5,227.0,225.0,226.0
2018/06/12,"30,189,360",225.0,229.0,224.0,229.0
2018/06/13,"36,081,120",229.0,232.0,228.0,232.0
2018/06/14,"36,932,041",230.0,230.0,226.5,226.5
2018/06/15,"49,506,679",225.0,231.0,224.0,231.0
2018/06/19,"61,142,624",225.5,226.0,224.0,225.0
2018/06/20,"40,708,701",224.5,227.5,223.5,226.0
2018/06/21,"32,572,707",227.5,228.0,226.0,226.5
2018/06/22,"44,211,409",224.5,227.5,224.0,227.5
2018/06/25,"49,058,211",220.0,220.5,218.0,218.0
2018/06/26,"43,080,346",215.5,216.0,212.5,214.5
2018/06/27,"40,863,414",216.0,216.0,212.5,213.0
2018/06/28,"38,816,780",211.0,214.5,210.0,212.0
2018/06/29,"36,848,680",212.0,217.0,212.0,216.5
2018/07/03,"28,663,220",215.5,218.0,213.5,214.5
2018/07/04,"15,359,295",217.0,217.5,215.5,216.0
2018/07/05,"18,225,416",214.0,215.0,213.0,214.5
2018/07/06,"31,344,962",217.5,217.5,215.0,217.0
2018/07/09,"41,165,793",219.5,223.0,218.5,221.5
2018/07/10,"20,196,957",223.0,224.0,222.0,222.0
2018/07/11,"19,854,690",220.0,220.0,218.0,220.0
2018/07/12,"23,806,051",218.0,222.0,218.0,220.5
2018/07/13,"30,419,311",222.5,224.5,222.5,224.5
2018/07/16,"16,107,254",224.5,225.0,223.5,223.5
2018/07/17,"22,554,436",222.5,223.5,221.0,221.5
2018/07/18,"45,802,658",223.0,224.0,222.0,223.0
2018/07/19,"43,976,216",225.5,227.0,224.5,224.5
2018/07/20,"103,652,023",235.0,237.5,233.0,237.5
2018/07/23,"52,269,877",239.0,245.0,238.5,241.0
2018/07/24,"27,468,267",240.0,241.5,238.5,241.0
2018/07/25,"21,530,312",239.0,241.0,239.0,240.5
2018/07/26,"30,856,388",241.0,242.5,239.5,241.0
2018/07/27,"27,129,646",242.0,244.5,241.0,244.5
2018/07/30,"22,803,730",244.5,245.5,244.0,245.5
2018/07/31,"28,202,542",243.5,246.0,242.0,246.0
2018/08/02,"22,775,110",249.0,249.5,243.5,244.5
2018/08/03,"25,165,097",246.0,248.0,245.0,247.0
2018/08/06,"22,364,568",245.0,247.0,244.0,245.5
2018/08/07,"24,352,418",245.0,245.5,241.5,241.5
2018/08/08,"24,382,432",245.0,247.5,244.5,247.5
2018/08/09,"15,128,655",247.0,248.0,246.0,247.0
2018/08/10,"16,125,492",246.5,247.0,244.5,245.0
2018/08/13,"17,881,194",241.5,243.0,239.0,240.5
2018/08/14,"17,488,913",245.0,245.0,242.5,243.5
2018/08/15,"19,236,321",244.5,244.5,239.5,241.5
2018/08/16,"19,155,966",238.0,241.5,238.0,239.0
2018/08/17,"19,634,474",239.5,241.0,239.0,239.5
2018/08/20,"17,014,437",239.5,240.0,238.0,239.5
2018/08/21,"13,871,127",239.0,241.0,238.5,241.0
2018/08/22,"12,679,240",241.5,242.5,240.5,242.0
2018/08/23,"17,216,240",243.0,244.5,243.0,244.5
2018/08/24,"15,446,943",245.5,246.0,243.0,243.5
2018/08/27,"15,579,299",246.0,246.5,244.5,245.0
2018/08/28,"40,410,531",248.5,250.0,248.0,249.5
2018/08/29,"57,633,182",253.5,259.0,253.5,259.0
2018/08/30,"52,622,808",264.5,268.0,262.5,263.5
2018/08/31,"70,000,506",257.5,259.0,254.0,256.0
2018/09/04,"41,455,615",258.5,259.5,255.5,257.5
2018/09/05,"52,706,459",260.0,264.5,259.0,264.0
2018/09/06,"39,779,488",268.0,268.0,261.0,261.0
2018/09/07,"44,746,728",263.0,264.0,260.5,264.0
2018/09/10,"62,851,599",266.5,266.5,262.5,264.5
2018/09/11,"44,981,276",263.0,263.5,258.0,260.0
2018/09/12,"38,415,965",261.0,262.0,258.0,260.5
2018/09/13,"37,959,180",260.0,260.0,253.5,255.0
2018/09/14,"40,034,219",257.0,261.5,257.0,261.0
2018/09/17,"25,041,358",262.5,262.5,257.0,258.0
2018/09/18,"34,381,152",256.5,257.0,254.0,254.5
2018/09/19,"69,978,711",258.0,260.0,257.0,258.0
2018/09/20,"35,577,071",261.5,261.5,257.5,260.0
2018/09/21,"36,500,974",261.5,261.5,258.0,261.5
2018/09/25,"24,978,062",261.5,264.0,260.5,263.5
2018/09/26,"25,061,115",263.0,263.5,261.0,263.5
2018/09/27,"38,495,371",264.0,266.0,262.0,265.0
2018/09/28,"39,645,486",266.0,266.0,260.0,262.5
2018/10/02,"38,391,491",262.0,263.0,257.0,257.5
2018/10/03,"25,228,536",257.5,260.0,257.0,260.0
2018/10/04,"38,009,727",257.0,257.5,254.0,254.0
2018/10/05,"40,396,660",250.0,253.0,248.5,250.0
2018/10/08,"51,083,958",245.5,246.5,241.0,243.5
2018/10/09,"28,933,345",243.5,245.0,242.0,244.0
2018/10/11,"96,033,657",233.5,233.5,227.0,227.5
2018/10/12,"54,439,769",231.0,237.0,229.0,237.0
2018/10/15,"46,471,280",234.0,234.0,230.5,230.5
2018/10/16,"39,129,077",229.5,237.0,229.0,237.0
2018/10/17,"42,887,858",241.5,243.0,238.0,238.5
2018/10/18,"27,793,430",238.0,239.0,235.5,236.5
2018/10/19,"29,648,460",231.0,236.5,230.0,236.0
2018/10/22,"29,275,777",232.5,238.0,231.5,237.0
2018/10/23,"36,757,745",232.0,234.0,230.0,230.0
2018/10/24,"45,480,950",230.0,231.0,227.0,229.5
